Date,Predicted Bike Sharing
0,15.972928541808681
0,39.985682685540226
0,32.005997207865086
0,13.035249172372408
0,1.0162449043399433
0,1.0203490755996927
0,1.9613900769453887
0,2.899414870072215
0,7.932278275755891
0,13.955490099166408
0,35.93765829180523
0,56.1776356751539
0,84.14257368338177
0,94.31755051379962
0,106.19253909529552
0,110.22335921107735
0,93.30081784294127
0,66.98489231181625
0,34.882062378119294
0,36.940606530077105
0,35.9749456195132
0,34.00486611578044
0,27.70949408131769
0,38.79080006755714
1,17.101099964252967
1,17.100452050535843
1,9.106943493877694
1,6.118432881096806
1,3.0408395060268645
1,2.0112320925334437
1,1.0353218455574402
1,8.07208111233761
1,20.06325614231108
1,53.0812850527223
1,69.96905050924263
1,92.95144018549719
1,75.06799529883268
1,59.09111845090229
1,73.93434201873436
1,76.06242682205925
1,65.04102430083432
1,52.955551400693736
1,30.084327320937213
1,21.686220968037855
1,30.61161849204563
1,9.358523608877515
1,8.656994478774424
2,5.1713737722932205
2,2.1595233908004574
2,1.0367053530604433
2,3.0789627831286244
2,30.004742751545912
2,64.00386114182774
2,154.0283826364618
2,88.02157610017835
2,43.987097383586004
2,51.00859740528688
2,60.994246057533104
2,61.042849042281944
2,77.04589349788988
2,71.98728393571338
2,76.04636749341006
2,157.02373312895577
2,157.0131480194658
2,110.08235655995672
2,52.07451682415076
2,52.10830806304475
2,20.24621282647402
2,12.030578882559919
3,5.15585792668012
3,2.106309417662109
3,1.0757654843771507
3,2.0362958363853054
3,4.086028885865849
3,36.00688900270836
3,94.02435702021796
3,179.04785734944426
3,99.99540153758419
3,42.06305583114595
3,57.07728931542894
3,78.07463463231758
3,97.04332633283713
3,63.046295707234265
3,64.94444870577279
3,83.0184029422198
3,212.02354246799143
3,181.93384228551645
3,112.0116061654053
3,54.19259696038142
3,48.297586841603334
3,35.12014275553704
3,11.013006142815481
4,6.083183427146726
4,6.09499678142217
4,2.060614717914323
4,2.0772082253443
4,3.040587601567573
4,32.993414003060074
4,87.97617573374265
4,195.0425639876667
4,115.0012004183165
4,57.025507735546654
4,45.92216408004093
4,79.02080021484781
4,71.05004612186879
4,62.039087484733756
4,62.06343736124606
4,89.02987333926785
4,189.93292878561152
4,168.92331604311545
4,132.0035437162989
4,89.09406896628201
4,42.99416144801258
4,42.14450795397807
4,19.113759712670564
5,10.928230055870321
5,3.9948032413985635
5,1.9874851889238698
5,0.9956277008653007
5,3.9864750631999035
5,35.975896646551476
5,94.95367924332083
5,219.06028534176778
5,121.98597520435415
5,45.03509412324036
5,59.010641800997576
5,84.02489390343415
5,67.05370156814932
5,70.06474317277633
5,62.067715186362676
5,86.0804535550469
5,171.9739661471582
5,162.95210777647162
5,112.0120834275784
5,69.07404420406017
5,48.10434380924048
5,52.04383485598517
5,22.70585066050719
6,16.87814377381859
6,6.923302282243173
6,0.8970553864152246
6,0.9528437207718188
